s_no,financial_year,insurer,product_name,type_of_product,uin,date_of_approval,document_url,document_filename,local_file_path,r2_url,archive_status,scraped_at
GEN3364,2019-2020,IFFCO-TOKIO General Insurance Co. Ltd.,Personal Effect And Belongings for Stand-Alone Motor OD Two Wheeler,Add on,IRDAN106RP0001V01201920/A0006V01201920,29-09-2019,https://irdai.gov.in/documents/37343/993134/IRDAN106RP0001V01201920A0006V01201920_GEN3364.pdf/5f86aa15-1680-99da-7ab0-4c335a6b8cde?version=1.1&t=1668334066835&download=true,IRDAN106RP0001V01201920A0006V01201920_GEN3364.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/IFFCO-TOKIO-General-Insurance-Co.-Ltd./IRDAN106RP0001V01201920-A0006V01201920_Personal-Effect-And-Belongings-for-Stand-Alone-Motor-OD-Two-Wheeler.pdf,Non-Archived,2025-12-01T02:56:41.905757
GEN3365,2019-2020,IFFCO-TOKIO General Insurance Co. Ltd.,Daily Rental/Travel Cost for Stand-Alone Motor OD Two Wheeler,Add on,IRDAN106RP0001V01201920/A0005V01201920,29-09-2019,https://irdai.gov.in/documents/37343/993134/IRDAN106RP0001V01201920A0005V01201920_GEN3365.pdf/e4b489ef-03c6-f835-7490-7d459018532f?version=1.1&t=1668334150660&download=true,IRDAN106RP0001V01201920A0005V01201920_GEN3365.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/IFFCO-TOKIO-General-Insurance-Co.-Ltd./IRDAN106RP0001V01201920-A0005V01201920_Daily-Rental-Travel-Cost-for-Stand-Alone-Motor-OD-Two-Wheeler.pdf,Non-Archived,2025-12-01T02:56:41.905871
GEN3366,2019-2020,IFFCO-TOKIO General Insurance Co. Ltd.,New Vehicle Replacement for Stand-Alone Motor OD Two Wheeler,Add on,IRDAN106RP0001V01201920/A0004V01201920,29-09-2019,https://irdai.gov.in/documents/37343/993134/IRDAN106RP0001V01201920A0004V01201920_GEN3366.pdf/6d96e090-ebf2-bf56-435e-9031bf6e621e?version=1.1&t=1668334241267&download=true,IRDAN106RP0001V01201920A0004V01201920_GEN3366.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/IFFCO-TOKIO-General-Insurance-Co.-Ltd./IRDAN106RP0001V01201920-A0004V01201920_New-Vehicle-Replacement-for-Stand-Alone-Motor-OD-Two-Wheeler.pdf,Non-Archived,2025-12-01T02:56:41.905984
GEN3367,2019-2020,IFFCO-TOKIO General Insurance Co. Ltd.,"Transport, Redelivery Or Repatriation Of Repaired Vehicle for Stand-Alone Motor OD Two Wheeler",Add on,IRDAN106RP0001V01201920/A0013V01201920,29-09-2019,https://irdai.gov.in/documents/37343/993134/IRDAN106RP0001V01201920A0013V01201920_GEN3367.pdf/34dc0fc6-43f1-4d6c-d35a-b58793f52b8f?version=1.1&t=1668334331668&download=true,IRDAN106RP0001V01201920A0013V01201920_GEN3367.pdf,,"https://insurance-data.r2.dev/nonlife/2019-2020/IFFCO-TOKIO-General-Insurance-Co.-Ltd./IRDAN106RP0001V01201920-A0013V01201920_Transport,-Redelivery-Or-Repatriation-Of-Repaired-Vehicle-for-Stand-Alone-Motor-OD-Two-Wheeler.pdf",Non-Archived,2025-12-01T02:56:41.906099
GEN3368,2019-2020,IFFCO-TOKIO General Insurance Co. Ltd.,On-Road Protector Coverage for Stand-Alone Motor OD Private Car,Add on,IRDAN106RP0002V01201920/A0025V01201920,29-09-2019,https://irdai.gov.in/documents/37343/993134/IRDAN106RP0002V01201920A0025V01201920_GEN3368.pdf/37eacf30-b1a0-9ee6-f771-8883559bcb29?version=1.1&t=1668334417527&download=true,IRDAN106RP0002V01201920A0025V01201920_GEN3368.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/IFFCO-TOKIO-General-Insurance-Co.-Ltd./IRDAN106RP0002V01201920-A0025V01201920_On-Road-Protector-Coverage-for-Stand-Alone-Motor-OD-Private-Car.pdf,Non-Archived,2025-12-01T02:56:41.906212
GEN3369,2019-2020,Kotak Mahindra General Insurance Company Limited,Liability Only (Private Car) – 3 years,Main product,IRDAN152RP0006V02201819,15-10-2018,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201819_GEN3369.pdf/e292d2b9-88f1-c2ba-f5ff-4dda12f17dcb?version=1.1&t=1668334505310&download=true,IRDAN152RP0006V02201819_GEN3369.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201819_Liability-Only-(Private-Car)-–-3-years.pdf,Non-Archived,2025-12-01T02:56:41.906364
GEN3370,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure – Bundled - Motor Package,Main product,IRDAN152RP0010V02201819,17-10-2018,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0010V02201819_GEN3370.pdf/d8e8b90f-a28f-c2c3-bfcb-32f7642cae03?version=1.1&t=1668334596747&download=true,IRDAN152RP0010V02201819_GEN3370.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0010V02201819_Kotak-Car-Secure-–-Bundled-Motor-Package.pdf,Non-Archived,2025-12-01T02:56:41.906496
GEN3371,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Compulsory Personal Accident (Owner-Driver) under Motor Insurance Policies,Main product,IRDAN152RP0038V02201819,16-01-2019,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0038V02201819_GEN3371.pdf/b7759225-adb0-6055-ecbf-fc1a94af8b4c?version=1.1&t=1668334673773&download=true,IRDAN152RP0038V02201819_GEN3371.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0038V02201819_Kotak-Compulsory-Personal-Accident-(Owner-Driver)-under-Motor-Insurance-Policies.pdf,Non-Archived,2025-12-01T02:56:41.906615
GEN3372,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Depreciation Cover,Add on,IRDAN152RP0008V02201516/A0029V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0029V01201920_GEN3372.pdf/ef24e962-efa9-7412-91db-71fb5a6ffce4?version=1.1&t=1668334764717&download=true,IRDAN152RP0008V02201516A0029V01201920_GEN3372.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0029V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Depreciation-Cover.pdf,Non-Archived,2025-12-01T02:56:41.906731
GEN3373,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Consumables Cover,Add on,IRDAN152RP0008V02201516/A0030V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0030V01201920_GEN3373.pdf/e4cf9c93-689c-aff2-6552-81d1145a032f?version=1.1&t=1668334884125&download=true,IRDAN152RP0008V02201516A0030V01201920_GEN3373.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0030V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Consumables-Cover.pdf,Non-Archived,2025-12-01T02:56:41.906845
GEN3374,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Engine Protect,Add on,IRDAN152RP0008V02201516/A0031V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0031V01201920_GEN3374.pdf/3b6e6764-2979-c8e9-6cf4-57f4fad9209b?version=1.1&t=1668334994030&download=true,IRDAN152RP0008V02201516A0031V01201920_GEN3374.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0031V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Engine-Protect.pdf,Non-Archived,2025-12-01T02:56:41.906959
GEN3375,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Return to Invoice,Add on,IRDAN152RP0008V02201516/A0032V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0032V01201920_GEN3375.pdf/d1d092f1-9712-1f89-44c1-d1b15f1f6e8b?version=1.1&t=1668335083927&download=true,IRDAN152RP0008V02201516A0032V01201920_GEN3375.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0032V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Return-to-Invoice.pdf,Non-Archived,2025-12-01T02:56:41.907129
GEN3376,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Road Side Assistance,Add on,IRDAN152RP0008V02201516/A0033V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0033V01201920_GEN3376.pdf/841dd123-f1e8-0d69-2cdf-cd7f1e48787c?version=1.1&t=1668335163460&download=true,IRDAN152RP0008V02201516A0033V01201920_GEN3376.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0033V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Road-Side-Assistance.pdf,Non-Archived,2025-12-01T02:56:41.907246
GEN3377,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Key Replacement,Add on,IRDAN152RP0008V02201516/A0034V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0034V01201920_GEN3377.pdf/d103b7c5-5ebc-e567-54fd-374aa5d7fe57?version=1.1&t=1668335270216&download=true,IRDAN152RP0008V02201516A0034V01201920_GEN3377.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0034V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Key-Replacement.pdf,Non-Archived,2025-12-01T02:56:41.907388
GEN3378,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - NCB Protect,Add on,IRDAN152RP0008V02201516/A0035V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0035V01201920_GEN3378.pdf/246a0b9a-bd75-5d5f-880f-bc40dae60de4?version=1.1&t=1668335350067&download=true,IRDAN152RP0008V02201516A0035V01201920_GEN3378.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0035V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-NCB-Protect.pdf,Non-Archived,2025-12-01T02:56:41.907507
GEN3379,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Additional PA Cover for Owner Driver,Add on,IRDAN152RP0008V02201516/A0036V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0036V01201920_GEN3379.pdf/d7acf746-bb02-b484-048c-a63e3ad55a2f?version=1.1&t=1668335452445&download=true,IRDAN152RP0008V02201516A0036V01201920_GEN3379.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0036V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Additional-PA-Cover-for-Owner-Driver.pdf,Non-Archived,2025-12-01T02:56:41.907623
GEN3380,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Hospital Cash Benefit,Add on,IRDAN152RP0008V02201516/A0037V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0037V01201920_GEN3380.pdf/7beb1ee0-ea5c-29c0-e2eb-e19f78c2165a?version=1.1&t=1668335562448&download=true,IRDAN152RP0008V02201516A0037V01201920_GEN3380.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0037V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Hospital-Cash-Benefit.pdf,Non-Archived,2025-12-01T02:56:41.907737
GEN3381,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - EMI Protect,Add on,IRDAN152RP0008V02201516/A0038V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0038V01201920_GEN3381.pdf/61195db7-0549-0e9f-ff77-bd36b64f8280?version=1.1&t=1668335684768&download=true,IRDAN152RP0008V02201516A0038V01201920_GEN3381.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0038V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-EMI-Protect.pdf,Non-Archived,2025-12-01T02:56:41.907851
GEN3382,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Additional Towing charges,Add on,IRDAN152RP0008V02201516/A0039V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0039V01201920_GEN3382.pdf/fb6ef78b-6236-9c7e-a4d1-bc1b7d269c26?version=1.1&t=1668335810529&download=true,IRDAN152RP0008V02201516A0039V01201920_GEN3382.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0039V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Additional-Towing-charges.pdf,Non-Archived,2025-12-01T02:56:41.907965
GEN3383,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Goods Carrying Vehicle) - Loss of Income,Add on,IRDAN152RP0008V02201516/A0040V01201920,30-01-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0008V02201516A0040V01201920_GEN3383.pdf/8a080f75-9a9a-65bc-31a3-198e4212eb60?version=1.1&t=1668335941280&download=true,IRDAN152RP0008V02201516A0040V01201920_GEN3383.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0008V02201516-A0040V01201920_Kotak-Commercial-Vehicle-Secure-(Goods-Carrying-Vehicle)-Loss-of-Income.pdf,Non-Archived,2025-12-01T02:56:41.908078
GEN3384,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (PCV) - Medical Expenses due to Accident,Add on,IRDAN152RP0009V02201516/A0041V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0041V01201920_GEN3384.pdf/e7dcace6-874d-56c9-dca4-a790affc4615?version=1.1&t=1668336166163&download=true,IRDAN152RP0009V02201516A0041V01201920_GEN3384.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0041V01201920_Kotak-Commercial-Vehicle-Secure-(PCV)-Medical-Expenses-due-to-Accident.pdf,Non-Archived,2025-12-01T02:56:41.908192
GEN3385,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - Tyre Cover,Add on,IRDAN152RP0009V02201516/A0045V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0045V01201920_GEN3385.pdf/445f6b24-6746-4852-f263-9ff0b5b0dc16?version=1.1&t=1668336289610&download=true,IRDAN152RP0009V02201516A0045V01201920_GEN3385.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0045V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-Tyre-Cover.pdf,Non-Archived,2025-12-01T02:56:41.908319
GEN3386,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) – NCB Protect,Add on,IRDAN152RP0009V02201516/A0046V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0046V01201920_GEN3386.pdf/67c7371d-9d8d-b529-2f0f-5547308f7cdc?version=1.1&t=1668336403310&download=true,IRDAN152RP0009V02201516A0046V01201920_GEN3386.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0046V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-–-NCB-Protect.pdf,Non-Archived,2025-12-01T02:56:41.908442
GEN3387,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - Additional PA Cover for Owner Driver,Add on,IRDAN152RP0009V02201516/A0047V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0047V01201920_GEN3387.pdf/0fa2e836-417c-4d23-f437-45dcc1add6ec?version=1.1&t=1668336524748&download=true,IRDAN152RP0009V02201516A0047V01201920_GEN3387.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0047V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-Additional-PA-Cover-for-Owner-Driver.pdf,Non-Archived,2025-12-01T02:56:41.908558
GEN3388,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - Additional PA cover for Passengers,Add on,IRDAN152RP0009V02201516/A0048V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0048V01201920_GEN3388.pdf/dd88d747-08c5-6c24-a707-28e257beaad9?version=1.1&t=1668336607022&download=true,IRDAN152RP0009V02201516A0048V01201920_GEN3388.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0048V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-Additional-PA-cover-for-Passengers.pdf,Non-Archived,2025-12-01T02:56:41.908673
GEN3389,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - Hospital Cash Benefit,Add on,IRDAN152RP0009V02201516/A0049V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0049V01201920_GEN3389.pdf/ab09ddb8-0ca6-1578-1b71-0b39b92738b1?version=1.1&t=1668336699796&download=true,IRDAN152RP0009V02201516A0049V01201920_GEN3389.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0049V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-Hospital-Cash-Benefit.pdf,Non-Archived,2025-12-01T02:56:41.908795
GEN3390,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - EMI Protect,Add on,IRDAN152RP0009V02201516/A0050V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0050V01201920_GEN3390.pdf/f3bca066-75f8-c98c-fad8-8c8375879791?version=1.1&t=1668336786449&download=true,IRDAN152RP0009V02201516A0050V01201920_GEN3390.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0050V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-EMI-Protect.pdf,Non-Archived,2025-12-01T02:56:41.908915
GEN3391,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - Additional Towing charges,Add on,IRDAN152RP0009V02201516/A0051V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0051V01201920_GEN3391.pdf/3dc36e41-7ed8-277e-1979-d8b670c49c90?version=1.1&t=1668336881399&download=true,IRDAN152RP0009V02201516A0051V01201920_GEN3391.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0051V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-Additional-Towing-charges.pdf,Non-Archived,2025-12-01T02:56:41.909028
GEN3392,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (Passenger Carrying Vehicle) - Loss of Income,Add on,IRDAN152RP0009V02201516/A0052V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0052V01201920_GEN3392.pdf/aa498b9d-0378-b218-e214-863e4e4fde13?version=1.1&t=1668336961442&download=true,IRDAN152RP0009V02201516A0052V01201920_GEN3392.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0052V01201920_Kotak-Commercial-Vehicle-Secure-(Passenger-Carrying-Vehicle)-Loss-of-Income.pdf,Non-Archived,2025-12-01T02:56:41.909142
GEN3393,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Commercial Vehicle Secure (PCV) - Loan Protect,Add on,IRDAN152RP0009V02201516/A0042V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0009V02201516A0042V01201920_GEN3393.pdf/13a9986e-e9d5-d36a-b28b-4708cbbcad8f?version=1.1&t=1668337049766&download=true,IRDAN152RP0009V02201516A0042V01201920_GEN3393.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0009V02201516-A0042V01201920_Kotak-Commercial-Vehicle-Secure-(PCV)-Loan-Protect.pdf,Non-Archived,2025-12-01T02:56:41.909254
GEN3394,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Medical Expenses due to Accident,Add on,IRDAN152RP0006V02201516/A0043V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0043V01201920_GEN3394.pdf/32eb4d21-fabf-2cd3-c708-75350ed6d6cb?version=1.1&t=1668337153361&download=true,IRDAN152RP0006V02201516A0043V01201920_GEN3394.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0043V01201920_Kotak-Car-Secure-Medical-Expenses-due-to-Accident.pdf,Non-Archived,2025-12-01T02:56:41.909385
GEN3395,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Additional PA cover for Passengers,Add on,IRDAN152RP0006V02201516/A0093V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0093V01201920_GEN3395.pdf/44dcf8ea-8271-c769-4651-809528932ad5?version=1.1&t=1668337243741&download=true,IRDAN152RP0006V02201516A0093V01201920_GEN3395.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0093V01201920_Kotak-Car-Secure-Additional-PA-cover-for-Passengers.pdf,Non-Archived,2025-12-01T02:56:41.909500
GEN3396,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Hospital Cash Benefit,Add on,IRDAN152RP0006V02201516/A0094V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0094V01201920_GEN3396.pdf/c065f4ba-9352-af05-05e1-0a3190f95ad0?version=1.1&t=1668337319334&download=true,IRDAN152RP0006V02201516A0094V01201920_GEN3396.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0094V01201920_Kotak-Car-Secure-Hospital-Cash-Benefit.pdf,Non-Archived,2025-12-01T02:56:41.909611
GEN3397,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Emergency Hotel and Taxi Expenses,Add on,IRDAN152RP0006V02201516/A0095V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0095V01201920_GEN3397.pdf/fa2ba1a6-e5f6-4000-21f9-f8bd72794011?version=1.1&t=1668337403326&download=true,IRDAN152RP0006V02201516A0095V01201920_GEN3397.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0095V01201920_Kotak-Car-Secure-Emergency-Hotel-and-Taxi-Expenses.pdf,Non-Archived,2025-12-01T02:56:41.909723
GEN3398,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - EMI Protect,Add on,IRDAN152RP0006V02201516/A0096V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0096V01201920_GEN3398.pdf/a89bebbc-fc40-ac6c-082f-4e7ed08ce3f4?version=1.1&t=1668337479766&download=true,IRDAN152RP0006V02201516A0096V01201920_GEN3398.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0096V01201920_Kotak-Car-Secure-EMI-Protect.pdf,Non-Archived,2025-12-01T02:56:41.909834
GEN3399,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Courtesy Car Reimbursement,Add on,IRDAN152RP0006V02201516/A0097V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0097V01201920_GEN3399.pdf/0be0488a-9e89-124a-b104-7be99e104888?version=1.1&t=1668337553343&download=true,IRDAN152RP0006V02201516A0097V01201920_GEN3399.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0097V01201920_Kotak-Car-Secure-Courtesy-Car-Reimbursement.pdf,Non-Archived,2025-12-01T02:56:41.909946
GEN3400,2019-2020,Kotak Mahindra General Insurance Company Limited,Kotak Car Secure - Additional Towing charges,Add on,IRDAN152RP0006V02201516/A0098V01201920,16-02-2020,https://irdai.gov.in/documents/37343/993134/IRDAN152RP0006V02201516A0098V01201920_GEN3400.pdf/f2df61de-f81f-f014-ae5f-bc1ff2123ff5?version=1.1&t=1668337639262&download=true,IRDAN152RP0006V02201516A0098V01201920_GEN3400.pdf,,https://insurance-data.r2.dev/nonlife/2019-2020/Kotak-Mahindra-General-Insurance-Company-Limited/IRDAN152RP0006V02201516-A0098V01201920_Kotak-Car-Secure-Additional-Towing-charges.pdf,Non-Archived,2025-12-01T02:56:41.910059
